"id";"firstname";"lastname";"email";"salary"
"1";"Dora";"Skiles";"Dora1@hotmail.com";"1"
"2";"Victor";"Roob";"Victor_Roob51@gmail.com";"5"
"3";"Marcus";"Kshlerin";"Marcus_Kshlerin1@gmail.com";"0"
"4";"Sabrina";"Nienow";"Sabrina93@yahoo.com";"-1"
"5";"Isabel";"Zieme";"Isabel10@hotmail.com";"-3"
"6";"Pamela";"Lebsack";"Pamela_Lebsack@gmail.com";"-3"
"7";"Janis";"Luettgen";"Janis_Luettgen38@yahoo.com";"0"
"8";"Rachael";"Graham";"Rachael.Graham75@gmail.com";"-4"
"9";"Dexter";"Lesch";"Dexter.Lesch@hotmail.com";"-2"
"10";"Ian";"Casper";"Ian98@hotmail.com";"5"
"11";"Sherry";"Rohan";"Sherry.Rohan15@hotmail.com";"-4"
"12";"Emilio";"Ryan";"Emilio44@yahoo.com";"-5"
"13";"Erik";"Torp";"Erik.Torp@hotmail.com";"0"
"14";"Claude";"Gorczany-Ward";"Claude_Gorczany-Ward21@yahoo.com";"-1"
"15";"Jaime";"Satterfield";"Jaime.Satterfield@gmail.com";"-1"
"16";"Terry";"Frami";"Terry_Frami@yahoo.com";"-3"
"17";"Kristin";"Lindgren";"Kristin_Lindgren@yahoo.com";"2"
"18";"Elena";"Rippin";"Elena57@gmail.com";"3"
"19";"Carmen";"Borer";"Carmen56@yahoo.com";"2"
"20";"Maria";"Bayer";"Maria_Bayer@yahoo.com";"-4"
"21";"Viola";"Reichel";"Viola50@hotmail.com";"0"
"22";"Luther";"Grady";"Luther_Grady@hotmail.com";"-3"
"23";"Erica";"Franey";"Erica_Franey@gmail.com";"2"
"24";"Neil";"Labadie";"Neil.Labadie38@gmail.com";"0"
"25";"Clyde";"Gutkowski";"Clyde91@hotmail.com";"-5"
"26";"Cassandra";"Rice";"Cassandra_Rice@gmail.com";"5"
"27";"Carolyn";"Hartmann";"Carolyn.Hartmann@yahoo.com";"-5"
"28";"Becky";"Bechtelar";"Becky.Bechtelar@gmail.com";"3"
"29";"Annie";"Ritchie";"Annie20@yahoo.com";"2"
"30";"Jason";"Legros";"Jason_Legros@hotmail.com";"3"
"31";"Vincent";"Roberts";"Vincent98@gmail.com";"-5"
"32";"Regina";"Veum";"Regina74@gmail.com";"-1"
"33";"Kevin";"Willms";"Kevin21@gmail.com";"-4"
"34";"Chester";"Bernhard";"Chester.Bernhard@gmail.com";"-2"
"35";"Alicia";"Barrows";"Alicia_Barrows71@yahoo.com";"4"
"36";"Lillie";"Macejkovic";"Lillie4@yahoo.com";"-4"
"37";"Colin";"Daugherty";"Colin.Daugherty81@yahoo.com";"5"
"38";"Dwight";"Rosenbaum";"Dwight.Rosenbaum54@hotmail.com";"0"
"39";"Robyn";"Gorczany";"Robyn_Gorczany63@yahoo.com";"0"
"40";"Mable";"Lebsack";"Mable_Lebsack@yahoo.com";"5"
"41";"Christina";"Wolff";"Christina.Wolff@gmail.com";"-4"
"42";"Mable";"Bayer";"Mable_Bayer@gmail.com";"-4"
"43";"Arnold";"Halvorson";"Arnold_Halvorson31@gmail.com";"-5"
"44";"Douglas";"Prohaska";"Douglas74@yahoo.com";"0"
"45";"Hattie";"Schinner";"Hattie_Schinner@yahoo.com";"0"
"46";"Celia";"Donnelly";"Celia_Donnelly@hotmail.com";"-3"
"47";"Adrian";"Roberts";"Adrian.Roberts21@hotmail.com";"0"
"48";"Della";"Pfeffer";"Della.Pfeffer@hotmail.com";"3"
"49";"Marlene";"Kilback";"Marlene31@hotmail.com";"0"
"50";"Marcos";"Leffler";"Marcos_Leffler36@yahoo.com";"2"
