"id"|"firstname"|"lastname"|"email"|"salary"
"1"|"Karen"|"Terry"|"Karen13@hotmail.com"|"4"
"2"|"Heidi"|"Sipes"|"Heidi.Sipes@yahoo.com"|"0"
"3"|"Tim"|"Kautzer"|"Tim39@hotmail.com"|"-5"
"4"|"Robin"|"Kozey"|"Robin_Kozey28@hotmail.com"|"-5"
"5"|"Glen"|"Bartell"|"Glen69@yahoo.com"|"1"
"6"|"Opal"|"Wintheiser"|"Opal87@hotmail.com"|"2"
"7"|"Johnnie"|"Wyman"|"Johnnie_Wyman8@hotmail.com"|"-1"
"8"|"Beverly"|"Anderson"|"Beverly56@yahoo.com"|"-3"
"9"|"Chelsea"|"Spencer"|"Chelsea41@gmail.com"|"3"
"10"|"Cornelius"|"Toy"|"Cornelius.Toy95@hotmail.com"|"4"
"11"|"Joanne"|"Stroman"|"Joanne_Stroman@hotmail.com"|"5"
"12"|"Sherri"|"Zemlak"|"Sherri93@hotmail.com"|"3"
"13"|"Johanna"|"Marvin"|"Johanna.Marvin@yahoo.com"|"3"
"14"|"Delbert"|"Morissette"|"Delbert_Morissette@hotmail.com"|"2"
"15"|"Dan"|"Schoen"|"Dan.Schoen4@hotmail.com"|"0"
"16"|"Hugo"|"Boyer-Cartwright"|"Hugo_Boyer-Cartwright59@hotmail.com"|"-5"
"17"|"Stephanie"|"Willms"|"Stephanie.Willms@gmail.com"|"-1"
"18"|"Jake"|"Hackett"|"Jake.Hackett16@hotmail.com"|"2"
"19"|"Catherine"|"Friesen"|"Catherine18@gmail.com"|"2"
"20"|"Josefina"|"Cummings"|"Josefina_Cummings@hotmail.com"|"0"
"21"|"Alfredo"|"Dooley"|"Alfredo_Dooley87@hotmail.com"|"5"
"22"|"Casey"|"Altenwerth"|"Casey.Altenwerth86@hotmail.com"|"0"
"23"|"Ira"|"Crona-Wyman"|"Ira_Crona-Wyman14@hotmail.com"|"-3"
"24"|"Roman"|"Osinski"|"Roman.Osinski71@gmail.com"|"-4"
"25"|"Crystal"|"Douglas"|"Crystal48@hotmail.com"|"2"
"26"|"Norman"|"Corwin"|"Norman98@hotmail.com"|"2"
"27"|"Tony"|"Collier"|"Tony49@yahoo.com"|"-3"
"28"|"Willie"|"Bauch"|"Willie_Bauch@gmail.com"|"-5"
"29"|"Terrance"|"Emard"|"Terrance_Emard@gmail.com"|"2"
"30"|"Jean"|"Bruen"|"Jean.Bruen@gmail.com"|"2"
"31"|"Cody"|"Boyer"|"Cody_Boyer@yahoo.com"|"-5"
"32"|"Kristine"|"Yost"|"Kristine.Yost@hotmail.com"|"2"
"33"|"Joann"|"Kessler"|"Joann.Kessler79@gmail.com"|"4"
"34"|"Shane"|"Kihn"|"Shane.Kihn@gmail.com"|"0"
"35"|"Oscar"|"Terry"|"Oscar55@gmail.com"|"2"
"36"|"Jon"|"Osinski-Gottlieb"|"Jon96@gmail.com"|"2"
"37"|"Olga"|"Dach"|"Olga_Dach55@hotmail.com"|"1"
"38"|"Esther"|"Kunde"|"Esther_Kunde@hotmail.com"|"4"
"39"|"Ian"|"Murazik"|"Ian_Murazik42@hotmail.com"|"0"
"40"|"Harold"|"Corkery"|"Harold_Corkery@gmail.com"|"-2"
"41"|"Elaine"|"Gislason"|"Elaine12@hotmail.com"|"0"
"42"|"Merle"|"Breitenberg"|"Merle42@gmail.com"|"2"
"43"|"Opal"|"Shanahan-Bradtke"|"Opal_Shanahan-Bradtke87@gmail.com"|"-5"
"44"|"Marta"|"Reilly"|"Marta_Reilly@gmail.com"|"-4"
"45"|"Nichole"|"Howell"|"Nichole.Howell4@gmail.com"|"-3"
"46"|"Leticia"|"Kertzmann"|"Leticia45@gmail.com"|"-2"
"47"|"Pat"|"Homenick"|"Pat.Homenick94@yahoo.com"|"-5"
"48"|"Tracy"|"Cummings"|"Tracy.Cummings@yahoo.com"|"-4"
"49"|"Helen"|"Torp"|"Helen_Torp62@hotmail.com"|"-4"
"50"|"Jorge"|"Luettgen"|"Jorge_Luettgen@hotmail.com"|"-3"
